instruction,input,output
Analyse the input and categorize into respective category,"Coordinate patient referral to thoracic surgery for lung mass evaluation. Include CT findings, bronchoscopy results, and staging information.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Pharmacy consultation notes: Drug interaction potential identified. Alternative medication selected, no contraindications present.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Insurance appeal filed for denied claim #567890. Additional medical records submitted to support coverage determination.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Clearance sought for experimental immunotherapy protocol. Standard cancer treatments failed, investigational approach available.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Forward patient to neonatal intensive care for premature infant management. Include birth weight, gestational age, and respiratory status.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Care coordination notes: Patient transitioning well between care levels. Communication between providers excellent, continuity maintained.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Medical equipment rental charges for home oxygen therapy. Monthly rate: $180, duration: 6 months, total cost: $1,080.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Approval needed for robotic rehabilitation device. Traditional therapy plateauing, innovative technology may enhance recovery.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Route patient to hepatology for liver function abnormalities. Include enzyme levels, imaging studies, and medication history review.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Physical examination findings: Patient strength returning gradually. Range of motion exercises producing positive results.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Copayment waiver request for financial hardship case. Income documentation provided, patient qualifies for assistance program.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Preauthorization required for investigational surgical approach. Conventional techniques unsuccessful, novel method shows promise.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Transfer patient to emergency surgery for acute surgical condition. Include vital signs, laboratory results, and surgical urgency assessment.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Medication administration record: Patient tolerance excellent. Therapeutic levels achieved, side effects minimal and manageable.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Healthcare costs for extended care facility stay. Daily rate: $250, duration: 30 days, total charges: $7,500.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Approval sought for personalized cancer vaccine. Tumor genetics support individualized immunotherapy approach.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Connect patient with pain management specialist for chronic syndrome treatment. Include pain scales, medication trials, and functional limitations.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Nursing shift summary: Patient vital signs stable throughout night. No acute events, routine care provided without complications.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Professional services billing for consultation provided remotely. Telemedicine visit: $120, technology fee: $15, total charge: $135.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Prior permission needed for experimental brain stimulation therapy. Movement disorder treatment, conventional methods exhausted.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Direct patient to reproductive endocrinology for fertility preservation. Include treatment timeline, ovarian reserve testing, and patient preferences.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Recovery room documentation: Patient awakening appropriately from anesthesia. Vital signs stable, pain control adequate.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Insurance processing update for multiple claims submitted last month. Total approved: $8,900, total denied: $1,200, appeals initiated.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Clearance requested for participation in precision medicine study. Genetic profile matches trial inclusion criteria.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Send patient to orthopedic oncology for bone tumor evaluation. Include imaging characteristics, biopsy results, and staging workup.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Medication therapy management notes: Patient understanding of complex regimen confirmed. Compliance strategies implemented successfully.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Account statement for services rendered in January 2025. Total charges: $3,400, insurance payments: $2,550, patient balance: $850.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Approval required for compassionate use device access. Life-threatening condition, no approved alternatives exist.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Coordinate patient transfer to pediatric intensive care for critical illness management. Include PICU bed availability and transport team.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Speech pathology assessment: Patient swallowing function improving. Diet texture advancement appropriate, aspiration risk decreased.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Revenue posting for electronic payments received. Credit card payments: $2,400, ACH transfers: $1,800, total deposited: $4,200.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Preauthorization submitted for advanced imaging with contrast enhancement. Clinical suspicion requires detailed evaluation.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Forward patient to emergency psychiatry for acute mental health crisis. Include risk assessment, safety measures, and immediate interventions.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Diabetic education documentation: Patient glucose monitoring technique demonstrated. Carbohydrate counting skills assessed and reinforced.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Billing inquiry resolution for disputed charges. Documentation review complete, charges validated, patient explanation provided.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Approval needed for breakthrough oncology treatment. Aggressive disease progression, standard therapies ineffective.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Route patient to hand therapy for post-surgical rehabilitation. Include surgical procedure details, healing timeline, and functional goals.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Patient education assessment: Understanding of discharge instructions confirmed. Follow-up appointments scheduled appropriately.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Healthcare financing consultation for elective cosmetic procedure. Payment options discussed, financing terms negotiated.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Prior approval requested for innovative cardiac device implantation. Heart failure management, conventional pacemaker insufficient.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Transfer patient to burn intensive care for severe thermal injury. Include burn percentage, depth assessment, and fluid requirements.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Occupational therapy progress: Patient work capacity improving. Return to employment timeline established with employer coordination.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Insurance explanation of benefits for emergency room visit. Total billed: $2,800, insurance paid: $2,100, patient owes: $700.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Clearance sought for experimental tissue engineering therapy. Wound healing complications, traditional treatments unsuccessful.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Connect patient with integrative medicine for complementary therapy consultation. Include current treatments, patient preferences, and evidence-based options.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Vital signs monitoring log: Patient hemodynamically stable. Blood pressure controlled, heart rhythm regular throughout observation period.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Cost estimate update for revised surgical plan. Original estimate: $12,000, revised estimate: $15,500, insurance verification pending.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Approval required for participation in international drug trial. Protocol amendments approved, patient enrollment authorized.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Direct patient to minimally invasive surgery for complex procedure. Include anatomical considerations, surgical planning, and patient counseling.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Nutritional counseling notes: Patient dietary modifications producing desired weight loss. Metabolic parameters improving steadily.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Payment plan modification for patient experiencing financial hardship. Monthly payment reduced from $400 to $200, extended term approved.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Preauthorization needed for cutting-edge neurological intervention. Seizure disorder management, conventional medications inadequate.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Send patient to maternal-fetal medicine for twin pregnancy management. Include growth discordance, complications monitoring, and delivery planning.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Psychological testing results: Patient cognitive function within normal limits. Memory assessment shows improvement from baseline testing.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Healthcare premium payment processing for employee benefits. Monthly deduction: $350, annual total: $4,200, coverage effective immediately.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Approval sought for experimental gene editing therapy. Inherited disorder indication, conventional treatments provide minimal benefit.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Coordinate patient referral to wilderness medicine for adventure sports injury. Include mechanism of injury, environmental factors, and rescue details.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Respiratory therapy notes: Patient ventilator weaning progressing successfully. Spontaneous breathing trials increasing in duration.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Accounts receivable aging analysis for December 2024. Current: $25,000, 30-60 days: $8,000, over 90 days: $3,500.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Prior permission required for investigational antibody therapy. Autoimmune condition treatment, standard immunosuppression insufficient.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Forward patient to pediatric surgery for congenital anomaly repair. Include imaging studies, growth parameters, and surgical timing considerations.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Medication reconciliation update: Patient drug regimen optimized. Potential interactions eliminated, therapeutic goals maintained.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Insurance audit response for medical necessity review. Additional clinical documentation provided to support treatment decisions.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Clearance requested for breakthrough medical device trial. Revolutionary technology, potential to transform treatment paradigm.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Route patient to transplant surgery for organ replacement evaluation. Include compatibility testing, surgical risk assessment, and waitlist status.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Patient safety incident report: Near-miss event documented. Root cause analysis initiated, prevention strategies implemented.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Financial assistance application approved for qualifying patient. Charity care covers 90% of charges, patient responsibility: $500.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Approval needed for personalized drug dosing based on genetics. Pharmacogenomic testing supports individualized therapy approach.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Transfer patient to specialized stroke center for comprehensive evaluation. Include NIHSS score, imaging findings, and time since onset.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Physical therapy discharge summary: Patient functional goals achieved. Home exercise program established, community resources identified.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Healthcare invoice correction for billing error. Original charge: $800, corrected charge: $650, credit applied: $150.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Preauthorization required for novel surgical robot utilization. Complex anatomy requires advanced technology, improved outcomes expected.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Connect patient with sleep disorders center for comprehensive evaluation. Include sleep study scheduling, symptom assessment, and treatment planning.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Nursing documentation completion: Patient care plan updated. Goals revised based on progress, interventions adjusted accordingly.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Medical supplies billing for durable equipment provided. Wheelchair rental: $200/month, oxygen concentrator: $150/month, total: $350.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Approval sought for compassionate use biologic therapy. Inflammatory condition treatment, conventional medications causing intolerable side effects.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Direct patient to pediatric cardiothoracic surgery for complex heart defect repair. Include echocardiogram findings and surgical planning conference.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Medication adherence monitoring: Patient compliance tracking shows excellent results. Therapeutic outcomes maintained consistently.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Insurance claim status update for pending reimbursements. Total pending: $12,400, expected resolution: 15 business days.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Prior approval submitted for experimental cellular regeneration therapy. Tissue damage extensive, conventional healing inadequate.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Send patient to interventional neuroradiology for cerebrovascular procedure. Include angiography results, risk assessment, and procedural planning.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Wound care progress documentation: Healing trajectory exceeding expectations. Advanced dressing protocols producing excellent results.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Healthcare cost containment report for annual review. Total savings: $45,000, efficiency improvements identified across departments.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Clearance needed for participation in adaptive clinical trial. Protocol allows real-time modifications based on patient response.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Coordinate patient transfer to rehabilitation facility for intensive therapy. Include functional assessment, therapy orders, and discharge goals.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Medication effectiveness evaluation: Patient response to new regimen excellent. Biomarker improvements documented, side effects minimal.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Billing cycle completion for February 2025 services. Total charges generated: $67,800, collection rate: 94%, outstanding: $4,100.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Approval required for breakthrough combination therapy. Synergistic effects demonstrated, superior outcomes anticipated.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Forward patient to emergency medicine for acute condition management. Include triage assessment, vital signs, and immediate treatment needs.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Patient outcome measurement: Quality of life scores improved significantly. Functional capacity returned to pre-illness levels.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Healthcare economics analysis for treatment options. Cost-effectiveness ratio favors innovative approach, long-term savings projected.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Preauthorization request for advanced molecular diagnostics. Precision medicine approach requires comprehensive genetic analysis.,DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Route patient to emergency surgery for life-threatening condition. Include surgical consent, family notification, and operating room preparation.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Clinical trial participation documentation: Patient eligibility confirmed. Informed consent process complete, enrollment scheduled.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,"Account reconciliation for insurance payments received. Posted amount: $8,600, adjustment: $400, net collection: $8,200.",DOCUMENT_UPLOAD
Analyse the input and categorize into respective category,Approval sought for investigational device compassionate use. Device represents only viable treatment option for patient's condition.,DOCUMENT_UPLOAD
